# YR	YI
0.445155	0.441076
0.201889	0.200655
-0.387046	-0.385860
-0.163865	-0.163865
0.607762	0.609629
-0.151478	-0.152411
-0.374333	-0.377793
0.209084	0.211666
0.451038	0.458010
-0.482869	-0.491840
-0.139320	-0.142345
0.396149	0.405994
0.081997	0.084293
-0.584578	-0.602793
0.216001	0.223417
0.337153	0.349800
-0.258466	-0.268985
-0.378321	-0.394930
0.509583	0.533590
0.075254	0.079042
-0.395352	-0.416528
-0.005543	-0.005858
0.550727	0.583804
-0.274649	-0.292040
-0.293923	-0.313496
0.297533	0.318325
0.303084	0.325262
-0.524989	-0.565142
-0.011044	-0.011925
0.385341	0.417374
-0.064236	-0.069791
-0.507564	-0.553151
0.326230	0.356627
0.245770	0.269499
-0.326353	-0.358967
-0.227275	-0.250759
0.529132	0.585610
-0.051915	-0.057634
-0.367069	-0.408763
0.126378	0.141167
0.456591	0.511602
-0.369827	-0.415668
-0.193899	-0.218607
0.345231	0.390427
0.152684	0.173208
-0.522374	-0.594428
0.112368	0.128264
0.341399	0.390901
-0.180130	-0.206888
-0.399415	-0.460171
0.404559	0.467544
0.139454	0.161666
-0.354583	-0.412337
-0.080890	-0.094358
0.505262	0.591218
-0.169118	-0.198504
-0.309333	-0.364214
0.225087	0.265847
0.337789	0.400201
-0.429975	-0.511007
-0.083635	-0.099708
0.355023	0.424568
0.013355	0.016021
-0.478720	-0.576079
0.220956	0.266724
0.271868	0.329207
-0.260993	-0.317027
-0.273412	-0.333154
0.445757	0.544859
0.027640	0.033893
-0.347240	-0.427106
0.048714	0.060107
0.443759	0.549259
-0.266923	-0.331420
-0.230071	-0.286562
0.287846	0.359652
0.207984	0.260687
-0.451848	-0.568130
0.027417	0.034582
0.332025	0.420110
-0.104358	-0.132460
-0.401670	-0.511450
0.306113	0.391010
0.184930	0.236965
-0.305896	-0.393212
-0.143140	-0.184580
0.448468	0.580144
-0.080344	-0.104265
-0.310159	-0.403780
0.152870	0.199647
0.353816	0.463551
-0.337832	-0.444021
-0.137540	-0.181348
0.315379	0.417159
0.080229	0.106460
-0.436102	-0.580536
0.130193	0.173866
0.282581	0.378582
-0.193705	-0.260347
-0.301609	-0.406674
0.361663	0.489212
0.088914	0.120659
-0.316895	-0.431418
-0.020719	-0.028297
0.415316	0.569060
-0.175925	-0.241829
-0.250229	-0.345078
0.226632	0.313546
0.246623	0.342310
-0.377209	-0.525258
-0.040080	-0.055992
0.311045	0.435943
-0.034333	-0.048276
-0.387100	-0.546073
0.216672	0.306650
0.213970	0.303813
-0.251586	-0.358391
-0.190290	-0.271960
0.384472	0.551280
-0.007961	-0.011453
-0.298485	-0.430797
0.083988	0.121615
0.352397	0.511956
-0.251725	-0.366906
-0.174812	-0.255639
0.268670	0.394189
0.134077	0.197365
-0.383513	-0.566412
0.054224	0.080348
0.280018	0.416306
-0.127506	-0.190194
-0.312407	-0.467551
0.280412	0.421065
0.133595	0.201273
-0.278174	-0.420493
-0.079228	-0.120164
0.374701	0.570201
-0.097863	-0.149420
-0.256419	-0.392826
0.164442	0.252764
0.268364	0.413893
-0.302353	-0.467884
-0.091319	-0.141790
0.280539	0.437064
0.027016	0.042232
-0.358568	-0.562416
0.138004	0.217194
0.228538	0.360900
-0.194444	-0.308106
-0.221565	-0.352276
0.317227	0.506093
0.048845	0.078192
-0.276303	-0.443823
0.021522	0.034689
0.335823	0.543140
-0.173902	-0.282224
-0.197206	-0.321147
0.217424	0.355292
0.173293	0.284157
-0.324972	-0.534716
-0.007080	-0.011690
0.266058	0.440818
-0.065536	-0.108960
-0.307325	-0.512741
0.204948	0.343127
0.163308	0.274369
-0.233439	-0.393565
-0.124827	-0.211188
0.325643	0.552876
-0.033173	-0.056519
-0.250522	-0.428335
0.104296	0.178952
0.274026	0.471837
-0.230571	-0.398419
-0.127616	-0.221299
0.242723	0.422401
0.077309	0.135017
-0.319497	-0.559979
0.071142	0.125135
0.230420	0.406748
-0.137370	-0.243362
-0.237032	-0.421430
0.250409	0.446816
0.091018	0.162994
-0.245654	-0.441502
-0.031866	-0.057478
0.307006	0.555774
-0.106108	-0.192786
-0.206504	-0.376560
0.164405	0.300885
0.197420	0.362630
-0.264218	-0.487103
-0.054287	-0.100449
0.242685	0.450700
-0.010562	-0.019686
-0.288723	-0.540162
0.137420	0.258045
0.179550	0.338406
-0.185267	-0.350481
-0.156355	-0.296887
0.271913	0.518235
0.018195	0.034807
-0.234380	-0.450053
0.049166	0.094762
0.265398	0.513453
-0.164563	-0.319573
-0.150380	-0.293134
0.200026	0.391385
0.114922	0.225719
-0.273534	-0.539293
0.016530	0.032714
0.221355	0.439758
-0.083288	-0.166098
-0.237815	-0.476087
0.187056	0.375913
0.119655	0.241391
-0.208820	-0.422900
-0.074134	-0.150716
0.269319	0.549663
-0.049278	-0.100967
-0.204306	-0.420235
0.112505	0.232314
0.206928	0.428969
-0.204623	-0.425858
-0.088190	-0.184264
0.211993	0.444687
0.035008	0.073726
-0.259627	-0.548936
0.079377	0.168498
0.183911	0.391953
-0.136478	-0.292029
-0.173677	-0.373116
0.217034	0.468136
0.056672	0.122735
-0.209955	-0.456532
0.001608	0.003510
0.244947	0.536955
-0.106314	-0.234005
-0.160877	-0.355546
0.155078	0.344135
0.139046	0.309824
-0.224226	-0.501684
-0.025782	-0.057922
0.203204	0.458421
-0.035000	-0.079285
-0.225902	-0.513879
0.129645	0.296145
0.135928	0.311801
-0.168310	-0.387700
-0.104006	-0.240588
0.226244	0.525560
-0.003861	-0.009006
-0.192307	-0.450525
0.064552	0.151874
0.203179	0.480069
-0.148990	-0.353544
-0.109710	-0.261454
0.176331	0.422033
0.069448	0.166938
-0.223295	-0.539081
0.031706	0.076879
0.177895	0.433230
-0.089883	-0.219853
-0.177580	-0.436270
0.164103	0.404938
0.082916	0.205506
-0.179407	-0.446633
-0.036265	-0.090683
0.215683	0.541739
-0.057205	-0.144328
-0.160584	-0.406975
0.110655	0.281703
0.149939	0.383437
-0.174822	-0.449102
-0.056192	-0.145009
0.177936	0.461280
0.005200	0.013541
-0.203846	-0.533317
0.079921	0.210063
0.141041	0.372425
-0.126778	-0.336318
-0.121095	-0.322743
0.181112	0.484960
0.030112	0.081009
-0.172359	-0.465879
0.023114	0.062773
0.188321	0.513862
-0.099504	-0.272806
-0.119920	-0.330353
0.138212	0.382573
0.091921	0.255666
-0.183020	-0.511505
-0.005246	-0.014733
0.163185	0.460519
-0.048117	-0.136454
-0.169683	-0.483567
0.115632	0.331155
0.097778	0.281409
-0.145133	-0.419775
-0.063126	-0.183494
0.180762	0.528068
-0.017991	-0.052820
-0.151018	-0.445632
0.069476	0.206053
0.148672	0.443177
-0.128147	-0.383949
-0.075285	-0.226722
0.147787	0.447357
0.035540	0.108138
-0.174608	-0.534043
