# YR	YI
1.913552	-2.311074
0.188228	0.752137
-0.589130	2.292300
-1.499969	-0.749713
1.904000	-2.273379
0.187495	0.746964
-0.609283	2.254900
-1.469686	-0.744456
1.894622	-2.236440
0.186535	0.741906
-0.628598	2.218380
-1.440611	-0.739420
1.885731	-2.200530
0.185430	0.736968
-0.646984	2.182728
-1.412496	-0.734529
1.877309	-2.165250
0.183952	0.732268
-0.664546	2.147765
-1.385412	-0.729349
1.868589	-2.131398
0.183381	0.727558
-0.682120	2.114246
-1.358995	-0.725421
1.861039	-2.097499
0.181864	0.723231
-0.698657	2.081094
-1.333576	-0.720938
1.853351	-2.064792
0.180212	0.718937
-0.714433	2.048416
-1.308894	-0.716940
1.846329	-2.032699
0.178952	0.714901
-0.729575	2.017036
-1.285140	-0.712418
1.838957	-2.001014
0.176952	0.710751
-0.744435	1.985742
-1.261848	-0.708555
1.832136	-1.970003
0.174970	0.706989
-0.759096	1.955111
-1.239416	-0.705201
1.825758	-1.940225
0.173499	0.703182
-0.772717	1.925339
-1.217480	-0.701377
1.819486	-1.910638
0.171609	0.699692
-0.786058	1.896101
-1.196318	-0.697849
1.813493	-1.881759
0.169666	0.696202
-0.798907	1.867503
-1.175762	-0.694429
1.807714	-1.853318
0.167725	0.692842
-0.811402	1.839560
-1.155864	-0.691164
1.801890	-1.825537
0.165708	0.689358
-0.823453	1.811931
-1.136153	-0.687994
1.796475	-1.798273
0.163713	0.686318
-0.835078	1.784960
-1.117221	-0.684851
1.791076	-1.771434
0.161616	0.683225
-0.846446	1.758286
-1.098626	-0.681828
1.785920	-1.745105
0.159508	0.680083
-0.857114	1.732425
-1.080964	-0.678816
1.781184	-1.719462
0.157231	0.677445
-0.867801	1.706689
-1.063403	-0.676022
1.776433	-1.694103
0.155004	0.674619
-0.877989	1.681550
-1.046304	-0.673257
1.771822	-1.669112
0.152686	0.671926
-0.887937	1.656842
-1.029678	-0.670610
1.767362	-1.644613
0.150288	0.669268
-0.897403	1.632394
-1.013402	-0.667743
1.762827	-1.620740
0.148281	0.666763
-0.906972	1.608745
-0.997597	-0.665462
1.758752	-1.596957
0.145775	0.664264
-0.915984	1.585167
-0.982096	-0.662989
1.754763	-1.573716
0.143277	0.661957
-0.924632	1.562086
-0.967122	-0.660641
1.750802	-1.550678
0.140762	0.659540
-0.933202	1.539239
-0.952363	-0.658491
1.747096	-1.528149
0.138373	0.657287
-0.941457	1.516918
-0.937974	-0.656314
1.743450	-1.506031
0.136054	0.655016
-0.949317	1.494985
-0.923818	-0.653917
1.739772	-1.483942
0.133391	0.652973
-0.957257	1.473212
-0.910132	-0.651933
1.736300	-1.462576
0.130954	0.650741
-0.964576	1.451724
-0.896390	-0.649752
1.733123	-1.440974
0.128257	0.649176
-0.972266	1.430880
-0.883560	-0.647894
1.729813	-1.420258
0.125772	0.647191
-0.979460	1.410369
-0.871003	-0.645855
1.726244	-1.399838
0.123072	0.644777
-0.986256	1.389539
-0.858010	-0.644075
1.723361	-1.379477
0.120537	0.643129
-0.992937	1.369517
-0.845733	-0.642177
1.720179	-1.359314
0.117864	0.641224
-0.999627	1.349414
-0.833407	-0.640467
1.717170	-1.339457
0.115325	0.639172
-1.005645	1.330110
-0.822002	-0.638589
1.714592	-1.320204
0.112542	0.637840
-1.012066	1.310492
-0.810308	-0.636975
1.711862	-1.300991
0.109893	0.636113
-1.018012	1.291394
-0.798859	-0.635297
1.709179	-1.281858
0.107143	0.634508
-1.023985	1.272556
-0.787707	-0.633763
1.706507	-1.263137
0.104442	0.632849
-1.029610	1.253760
-0.776604	-0.631940
1.703776	-1.244802
0.102036	0.631469
-1.035440	1.235496
-0.765926	-0.630491
1.701360	-1.226576
0.099145	0.630008
-1.040759	1.217107
-0.755387	-0.628916
1.699178	-1.208631
0.096233	0.628719
-1.045791	1.199232
-0.745318	-0.627472
1.696885	-1.190642
0.093260	0.627124
-1.050910	1.181477
-0.735190	-0.626334
1.694785	-1.172972
0.090617	0.625587
-1.055884	1.164142
-0.725184	-0.625011
1.692466	-1.155411
0.087939	0.624200
-1.060838	1.146884
-0.715297	-0.623663
1.690199	-1.138218
0.085218	0.622909
-1.065610	1.129702
-0.705624	-0.622255
1.688091	-1.121201
0.082348	0.621751
-1.070280	1.112748
-0.696329	-0.621005
1.686037	-1.104522
0.079507	0.620305
-1.074606	1.095941
-0.686941	-0.619770
1.684104	-1.087709
0.076657	0.619033
-1.079011	1.079374
-0.677660	-0.618664
1.682203	-1.071102
0.073917	0.617940
-1.083469	1.063102
-0.668602	-0.617412
1.680176	-1.054907
0.071031	0.616848
-1.087618	1.046773
-0.659693	-0.616310
1.678257	-1.038661
0.068224	0.615723
-1.091892	1.030522
-0.650355	-0.615150
1.675679	-1.021890
0.065348	0.612994
-1.094462	1.016031
-0.643886	-0.614074
1.675306	-1.007436
0.062486	0.613509
-1.099170	0.999507
-0.634782	-0.613027
1.673395	-0.991614
0.059652	0.612464
-1.103023	0.983833
-0.626352	-0.611946
1.671696	-0.976092
0.056733	0.611493
-1.106713	0.968348
-0.618215	-0.610920
1.670123	-0.960745
0.053717	0.610465
-1.110126	0.952967
-0.610184	-0.609751
1.668417	-0.945655
0.051076	0.609461
-1.113829	0.938120
-0.602301	-0.609058
1.666918	-0.930446
0.048120	0.608397
-1.117290	0.923107
-0.594370	-0.608142
1.665412	-0.915569
