codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 384000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 36, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
8646, 41, 644.356064, 9480,    40.545343, 594.715487, 11.924938, 73.471156,  0.929506,  2.515285,  -1.012397
8428, 41, 662.566370, 9888,    40.649632, 609.665794, 12.017383, 74.504131,  0.931605,  2.517261,  -1.014361
7667, 41, 737.825925, 8800,    40.556740, 596.331297, 12.021136, 75.076366,  0.940000,  2.515420,  -1.012533
9777, 40, 570.483288, 10608,    39.772304, 494.747767, 12.025481, 72.812211,  0.926019,  2.513913,  -1.011034
9754, 40, 566.989858, 10720,    39.819240, 500.307067, 12.165333, 74.069066,  0.923704,  2.513167,  -1.010293
9722, 40, 566.452416, 10280,    39.787868, 496.584310, 12.190815, 74.043562,  0.929475,  2.511276,  -1.008412
9696, 40, 561.859230, 10568,    39.716299, 488.195118, 12.100346, 72.840373,  0.931142,  2.509928,  -1.007069
9649, 40, 560.204080, 9672,    39.714706, 488.009994, 12.139852, 72.980967,  0.937346,  2.506522,  -1.003678
9630, 40, 550.491536, 9720,    39.686397, 484.732160, 12.116543, 72.463209,  0.937901,  2.503568,  -1.000731
9595, 40, 543.125284, 10304,    39.661642, 481.883878, 12.051753, 71.400817,  0.936204,  2.502356,  -1.000000
9492, 40, 546.658814, 10032,    39.603799, 475.293559, 12.006123, 70.993933,  0.939290,  2.500240,  -1.000000
9318, 40, 556.395972, 10112,    39.649755, 480.522093, 12.011457, 70.810823,  0.939907,  2.498619,  -1.000000
8774, 41, 590.510194, 8528,    40.318015, 563.385289, 12.007309, 72.001930,  0.946111,  2.496734,  -1.000000
10670, 40, 485.213374, 10416,    39.510784, 464.884464, 11.939753, 69.456890,  0.929475,  2.495063,  -1.000000
10677, 40, 484.570901, 10112,    39.402941, 453.100986, 11.940346, 69.371579,  0.931914,  2.492031,  -1.000000
10695, 40, 483.167505, 10280,    39.418873, 454.822740, 11.940741, 69.506629,  0.930864,  2.489539,  -1.000000
10712, 40, 481.918162, 10536,    39.479167, 461.398361, 11.975506, 70.406972,  0.934630,  2.488043,  -1.000000
10725, 40, 481.044837, 10752,    39.432475, 456.298030, 12.004938, 71.203821,  0.928673,  2.486791,  -1.000000
10732, 40, 480.489265, 10336,    39.493505, 462.976017, 12.070123, 72.430740,  0.932006,  2.484933,  -1.000000
10769, 40, 478.480586, 10840,    39.540319, 468.164651, 12.037136, 72.067933,  0.931327,  2.484555,  -1.000000
10788, 40, 477.565162, 10032,    39.492279, 462.840964, 12.070123, 71.779404,  0.940957,  2.481972,  -1.000000
10927, 40, 470.999943, 10320,    39.355025, 447.961663, 12.004938, 70.460667,  0.937253,  2.479308,  -1.000000
213156, 37, 255.714002, 204800,    36.860784, 247.376541, 11.975506, 57.853152,  0.000000,  5.647799,  1.728706
9044, 40, 568.453548, 9560,    39.562132, 470.602212, 11.940741, 59.541296,  0.945802,  2.476000,  -1.000000
9029, 40, 568.638236, 9512,    39.591299, 473.881265, 11.940346, 60.657450,  0.943920,  2.472777,  -1.000000
9013, 40, 568.906150, 9624,    39.654534, 481.069151, 11.939753, 61.957826,  0.946636,  2.470252,  -1.000000
8988, 40, 569.906015, 9792,    39.593873, 474.171688, 12.007309, 63.448626,  0.945556,  2.467826,  -1.000000
8947, 40, 571.955269, 9352,    39.446201, 457.791461, 12.011457, 64.347826,  0.945957,  2.463424,  -1.000000
8913, 40, 573.112962, 9112,    39.522794, 466.215534, 12.006123, 65.302994,  0.943210,  2.458883,  -1.000000
8876, 40, 574.441051, 10208,    39.779412, 495.585659, 12.051753, 66.784229,  0.938395,  2.458690,  -1.000000
8723, 40, 584.470847, 9912,    39.822672, 500.715933, 12.116543, 68.468452,  0.939938,  2.458029,  -1.000000
8454, 41, 602.906141, 9384,    40.646324, 609.185736, 12.139852, 70.989821,  0.938302,  2.460849,  -1.002868
